Volume_eau,Maladie,Temperature,Produit,Cereales,Rendement,Qtt_produit
140.26,2,23.59,Phyto A,6,82.55,52.84
250.71,6,10.03,Phyto E,1,93.85,107.53
273.59,3,14.59,Phyto E,4,93.16,104.64
259.39,2,13.65,Phyto E,6,90.16,104.86
101.34,1,28.22,Phyto D,6,65.34,72.78
146.8,6,29.69,Phyto D,4,62.06,48.55
173.77,1,30.93,Phyto B,4,89.68,115.34
249.31,4,34.06,Phyto B,3,94.95,98.14
304.79,1,10.27,Phyto E,3,93.56,97.57
129.07,5,21.56,Phyto D,6,66.59,72.35
100.9,1,20.12,Phyto D,5,63.43,40.79
187.03,3,27.11,Phyto A,3,82.19,55.8
155.9,1,30.97,Phyto B,3,94.95,111.91
273.87,3,20.06,Phyto C,6,77.56,70.23
151.1,2,23.15,Phyto A,5,81.6,94.31
139.45,1,24.34,Phyto D,2,64.99,58.89
103.8,1,28.53,Phyto D,5,64.02,76.51
101.68,1,29.75,Phyto A,5,89.6,53.49
167.58,6,24.13,Phyto A,5,82.88,64.13
181.47,5,28.3,Phyto A,3,87.26,80.1
112.66,5,26.87,Phyto D,5,66.34,50.65
321.18,5,15.56,Phyto E,5,90.08,129.09
122.04,4,21.24,Phyto D,4,62.07,69.73
291.65,1,18.66,Phyto E,3,90.04,128.8
134.09,6,26.05,Phyto D,1,61.24,76.21
115.7,5,22.78,Phyto A,5,81.45,55.35
261.98,3,12.67,Phyto E,1,91.84,118.02
271.05,5,15.63,Phyto C,2,77.95,70.35
193.4,3,27.35,Phyto A,6,81.06,82.89
282.59,1,15.47,Phyto C,5,74.3,91.49
162.91,4,27.75,Phyto A,4,80.6,67.61
230.03,5,32.09,Phyto B,5,91.36,93.46
105.92,1,26.38,Phyto D,6,65.41,64.82
340.11,4,16.49,Phyto E,3,94.31,93.15
247.06,6,33.0,Phyto B,5,86.47,117.86
324.13,1,12.75,Phyto E,3,92.71,115.86
210.62,5,31.56,Phyto B,5,93.31,103.37
136.91,4,21.68,Phyto D,6,67.61,63.93
132.0,3,21.86,Phyto D,1,67.73,44.48
106.41,3,23.53,Phyto D,5,68.07,69.88
288.55,6,10.03,Phyto E,4,92.96,116.11
287.25,6,19.97,Phyto E,2,94.32,111.51
280.2,2,11.92,Phyto E,6,92.71,98.38
264.6,3,18.65,Phyto C,3,79.15,97.63
102.71,2,24.38,Phyto D,4,64.96,59.2
115.54,6,28.2,Phyto D,3,63.99,68.64
265.62,6,14.59,Phyto E,4,90.12,122.64
194.29,2,33.42,Phyto B,3,88.15,95.82
297.08,4,15.1,Phyto C,3,71.36,61.62
347.09,2,14.86,Phyto E,4,92.67,114.56
188.45,4,29.38,Phyto B,3,86.75,80.05
100.21,4,29.55,Phyto D,5,64.7,69.71
127.84,3,24.32,Phyto A,3,82.43,71.55
272.05,1,12.19,Phyto E,6,94.75,94.38
138.34,3,27.03,Phyto D,5,62.02,78.6
332.69,3,18.43,Phyto E,4,90.27,125.43
262.1,6,15.62,Phyto E,6,94.36,116.31
136.69,6,23.12,Phyto D,5,63.68,41.27
267.68,6,15.52,Phyto E,6,90.98,128.39
228.27,3,18.81,Phyto C,5,74.73,89.4
347.75,2,19.6,Phyto E,1,93.69,111.91
254.83,1,18.25,Phyto C,6,74.91,61.25
259.93,4,15.99,Phyto C,3,70.13,98.63
297.95,6,17.89,Phyto C,1,72.02,91.91
256.26,2,10.6,Phyto E,3,92.92,114.35
171.92,3,29.49,Phyto B,3,85.35,86.52
176.79,1,28.32,Phyto A,1,82.78,82.46
147.17,3,25.6,Phyto D,1,69.73,77.44
223.82,1,34.27,Phyto B,4,86.32,86.21
175.54,3,23.65,Phyto A,6,89.39,61.34
137.21,1,23.06,Phyto D,6,62.41,57.08
129.31,1,20.92,Phyto D,3,64.62,49.39
252.11,3,22.34,Phyto C,4,79.11,60.41
261.12,3,17.51,Phyto E,6,94.06,98.76
270.13,2,14.35,Phyto E,2,92.26,124.62
123.26,3,24.8,Phyto D,3,60.35,51.91
111.79,4,25.0,Phyto D,6,63.76,78.71
161.39,1,20.81,Phyto A,1,83.01,76.94
255.91,6,12.75,Phyto E,6,91.52,113.79
142.9,4,27.09,Phyto D,4,67.0,78.68
301.77,2,12.7,Phyto E,2,93.42,96.08
241.26,1,20.51,Phyto C,6,75.27,99.08
268.07,4,10.49,Phyto E,6,92.72,97.47
104.02,4,20.86,Phyto D,1,66.62,55.65
279.31,1,20.41,Phyto C,6,74.16,63.24
208.48,2,27.09,Phyto B,2,93.06,89.98
221.55,5,22.74,Phyto C,5,73.72,74.24
109.83,3,26.76,Phyto D,3,62.83,75.65
111.86,4,20.07,Phyto A,2,88.76,70.48
130.22,6,29.0,Phyto D,5,62.55,61.06
199.79,5,27.22,Phyto B,6,88.04,80.64
164.27,3,28.24,Phyto A,1,89.01,89.05
243.09,4,17.44,Phyto C,3,76.79,87.67
118.24,3,26.73,Phyto A,3,84.32,81.66
216.19,6,33.86,Phyto B,3,89.47,112.77
162.02,1,22.81,Phyto A,5,84.91,62.11
171.85,5,25.14,Phyto A,2,84.85,86.6
240.53,2,34.72,Phyto B,2,88.93,92.02
210.26,3,22.84,Phyto C,4,78.18,63.47
215.18,5,31.29,Phyto B,2,94.22,95.75
288.83,2,23.37,Phyto C,6,77.52,97.02
225.41,3,16.56,Phyto C,6,72.62,91.36
160.37,3,22.17,Phyto A,5,86.88,79.63
124.01,2,21.19,Phyto D,2,61.51,69.7
134.56,4,25.86,Phyto D,6,62.21,64.05
142.16,1,20.98,Phyto D,1,67.87,48.61
101.93,5,24.2,Phyto D,2,63.03,40.02
156.29,4,27.08,Phyto B,3,85.37,80.08
220.08,3,22.31,Phyto C,4,77.98,86.43
138.46,4,26.55,Phyto D,1,67.06,40.55
252.37,1,10.89,Phyto E,6,92.52,100.49
292.25,2,17.16,Phyto C,3,73.09,72.93
344.07,5,17.06,Phyto E,3,91.92,123.95
168.82,3,21.44,Phyto A,1,85.59,79.81
262.01,3,19.7,Phyto C,3,79.0,70.67
108.28,1,25.83,Phyto D,4,66.68,56.7
204.95,1,24.88,Phyto C,6,77.45,80.16
189.94,1,25.99,Phyto A,6,81.33,95.26
340.01,6,18.79,Phyto E,5,94.69,101.82
282.38,5,20.3,Phyto C,3,77.05,70.21
272.75,1,23.56,Phyto C,4,76.72,86.77
211.76,5,33.19,Phyto B,4,85.93,97.1
118.39,1,24.18,Phyto D,6,66.84,59.61
233.79,1,17.84,Phyto C,1,72.01,95.15
131.64,1,26.07,Phyto A,4,83.29,72.8
125.96,4,26.25,Phyto D,2,63.47,58.34
281.06,1,16.49,Phyto E,2,92.03,100.15
165.05,2,26.72,Phyto B,6,87.38,108.18
207.4,4,18.05,Phyto C,4,77.53,88.26
144.77,3,24.47,Phyto D,6,64.27,48.33
105.65,1,29.73,Phyto D,1,68.7,78.01
130.52,3,29.95,Phyto D,1,64.6,66.88
165.8,6,25.48,Phyto B,1,86.46,100.37
284.65,3,15.76,Phyto E,3,93.11,94.59
175.5,2,30.83,Phyto B,5,86.25,92.06
275.03,2,22.99,Phyto C,3,75.07,75.74
220.69,6,23.11,Phyto C,2,73.99,74.64
222.9,2,34.93,Phyto B,5,91.63,108.19
119.15,3,22.85,Phyto A,5,84.53,90.14
251.84,5,19.34,Phyto C,1,74.66,99.35
112.82,5,27.75,Phyto A,3,85.18,54.19
157.73,1,29.57,Phyto A,2,88.29,97.88
131.0,5,28.72,Phyto D,3,69.78,68.81
172.57,1,29.19,Phyto B,6,87.73,82.05
134.99,6,27.6,Phyto A,2,82.04,97.21
213.48,2,23.75,Phyto C,4,70.89,83.68
148.41,2,26.62,Phyto D,3,65.25,41.09
113.28,5,21.11,Phyto D,4,69.3,72.74
271.75,1,20.1,Phyto C,6,79.16,84.51
173.39,5,22.38,Phyto A,3,85.72,50.63
339.98,2,18.07,Phyto E,4,92.78,108.99
330.93,1,16.1,Phyto E,2,92.13,109.81
104.1,5,24.41,Phyto D,1,63.55,54.52
122.11,1,20.59,Phyto D,3,61.26,61.34
175.48,5,25.17,Phyto A,5,87.01,79.85
304.77,1,12.69,Phyto E,3,91.34,95.38
236.62,3,22.97,Phyto C,6,78.2,63.69
266.91,4,23.77,Phyto C,1,71.15,96.39
152.25,4,29.16,Phyto A,6,89.53,87.56
293.08,6,17.28,Phyto E,1,94.32,125.97
137.29,3,29.94,Phyto D,2,61.59,54.29
276.76,5,24.05,Phyto C,4,72.88,75.58
163.6,2,22.47,Phyto A,3,85.15,67.36
256.96,4,17.72,Phyto E,5,93.11,117.08
225.02,2,19.37,Phyto C,1,79.2,75.6
128.37,3,21.55,Phyto D,3,68.9,74.15
125.17,2,24.39,Phyto D,3,68.98,66.62
204.82,6,29.35,Phyto B,3,92.93,117.25
135.44,1,27.41,Phyto D,5,64.25,65.72
251.81,4,16.14,Phyto E,4,91.01,123.63
221.22,1,25.99,Phyto B,6,90.26,102.3
252.43,4,21.31,Phyto C,6,80.0,68.44
205.64,5,31.55,Phyto B,6,94.67,87.8
296.02,2,14.06,Phyto E,6,90.49,100.42
259.96,3,16.28,Phyto E,3,90.44,92.87
132.52,1,21.25,Phyto D,4,68.08,65.21
198.0,3,28.88,Phyto A,3,81.58,78.33
188.98,6,29.32,Phyto B,4,93.64,85.5
223.15,6,24.37,Phyto C,4,74.7,93.67
150.48,2,26.55,Phyto B,5,89.97,112.83
132.85,5,22.24,Phyto D,3,68.38,70.84
101.34,3,28.72,Phyto D,2,67.57,54.46
150.18,5,29.9,Phyto B,6,91.55,98.33
308.11,2,17.32,Phyto E,1,94.8,102.56
132.04,5,25.28,Phyto D,1,60.85,69.3
102.81,3,26.99,Phyto D,2,61.38,46.23
168.0,3,29.23,Phyto B,5,93.64,112.86
238.85,1,27.91,Phyto B,1,94.99,96.78
142.01,3,20.59,Phyto D,4,63.13,49.23
281.18,4,10.49,Phyto E,3,94.94,100.5
122.15,6,29.73,Phyto D,3,69.63,65.11
110.96,2,21.7,Phyto D,4,61.17,51.05
132.74,5,23.45,Phyto D,3,69.73,42.16
101.15,1,26.43,Phyto D,2,67.63,77.24
109.04,1,23.66,Phyto D,3,69.18,68.74
108.55,1,28.23,Phyto D,5,63.69,69.62
242.26,5,31.88,Phyto B,2,85.76,116.66
236.3,6,23.59,Phyto C,5,71.42,70.71
215.98,2,19.89,Phyto C,2,78.62,82.16
333.5,1,14.85,Phyto E,6,94.96,126.67
112.13,1,22.9,Phyto A,5,82.16,60.24
296.02,2,17.9,Phyto E,1,90.23,95.63
207.08,4,21.05,Phyto C,2,71.76,81.28
191.48,3,27.26,Phyto A,3,84.35,60.3
113.06,2,21.59,Phyto D,6,67.36,58.74
171.53,4,23.11,Phyto A,6,80.53,82.76
206.36,4,26.71,Phyto B,1,88.78,97.41
216.83,4,21.1,Phyto C,5,72.64,88.41
101.82,5,27.67,Phyto D,3,60.83,61.05
207.36,2,18.77,Phyto C,3,70.86,88.06
130.69,6,28.19,Phyto A,2,83.53,68.11
184.82,1,26.39,Phyto A,3,84.26,81.93
289.64,5,17.75,Phyto C,3,72.8,92.21
113.41,3,27.3,Phyto D,6,66.49,69.36
133.84,2,23.5,Phyto D,2,63.24,54.93
130.77,5,29.92,Phyto A,4,86.63,80.15
248.34,1,23.1,Phyto C,5,71.37,71.02
288.8,6,23.94,Phyto C,3,79.8,95.92
103.56,3,29.56,Phyto D,4,60.82,71.33
220.44,4,28.59,Phyto B,4,93.42,101.24
127.31,1,28.91,Phyto D,1,66.87,41.78
302.29,3,19.27,Phyto E,3,90.45,128.9
239.52,4,29.83,Phyto B,2,94.57,86.81
234.85,1,34.8,Phyto B,5,88.66,114.36
250.62,6,15.43,Phyto C,4,73.37,92.61
241.85,1,27.98,Phyto B,4,94.21,97.12
102.63,1,21.49,Phyto D,3,68.94,72.81
106.27,6,24.26,Phyto A,1,84.18,72.74
265.07,1,21.99,Phyto C,2,73.37,82.88
172.1,1,29.88,Phyto B,5,93.88,110.08
227.59,6,21.65,Phyto C,5,79.66,72.67
234.18,2,20.53,Phyto C,2,77.26,99.17
180.76,6,22.47,Phyto A,6,86.55,59.33
275.39,1,14.4,Phyto E,5,94.86,98.94
121.15,1,23.23,Phyto A,6,81.5,68.72
293.11,5,19.54,Phyto E,1,94.31,94.53
105.21,5,26.06,Phyto A,6,88.43,93.86
345.57,6,14.08,Phyto E,1,93.95,90.51
202.21,4,34.85,Phyto B,5,93.2,110.68
255.67,2,17.22,Phyto C,1,77.29,90.96
117.74,2,24.01,Phyto D,1,62.28,72.54
158.76,4,27.06,Phyto B,2,85.56,87.47
143.8,1,25.14,Phyto A,4,81.09,64.72
327.89,6,14.57,Phyto E,5,93.58,113.28
212.28,2,18.07,Phyto C,1,77.89,86.9
120.61,2,28.17,Phyto D,6,61.88,70.06
172.45,2,24.68,Phyto A,5,83.05,55.73
309.63,6,13.66,Phyto E,6,94.95,123.43
146.12,2,27.0,Phyto D,5,61.24,75.5
323.27,5,19.0,Phyto E,5,92.81,116.11
151.45,4,31.22,Phyto B,1,94.7,115.04
320.16,1,17.62,Phyto E,3,92.61,110.1
281.93,1,18.67,Phyto C,4,71.96,94.58
245.81,5,31.1,Phyto B,1,88.59,100.01
164.97,2,20.55,Phyto A,4,81.25,78.54
122.62,4,20.02,Phyto D,6,66.46,70.8
101.59,3,20.3,Phyto D,1,61.95,75.79
141.61,5,20.22,Phyto D,4,68.29,74.0
149.33,1,23.37,Phyto D,3,61.04,79.69
324.49,2,10.32,Phyto E,1,94.27,96.69
188.46,6,26.09,Phyto A,4,87.17,65.72
126.69,2,25.15,Phyto A,1,82.94,99.8
223.82,3,26.06,Phyto B,1,92.33,93.01
315.0,4,16.04,Phyto E,3,91.62,118.17
253.84,6,10.85,Phyto E,6,93.39,120.53
261.73,1,16.07,Phyto C,2,77.83,67.54
114.94,5,21.47,Phyto D,2,68.19,73.74
106.4,4,23.13,Phyto A,1,83.22,95.79
203.0,4,16.34,Phyto C,4,77.16,90.95
178.12,2,22.23,Phyto A,3,88.72,64.89
169.83,2,31.62,Phyto B,4,86.43,112.62
275.68,6,11.83,Phyto E,5,92.98,94.73
225.84,6,31.32,Phyto B,6,92.0,117.62
143.84,5,26.72,Phyto D,6,66.93,51.33
173.22,2,29.52,Phyto B,4,90.49,108.83
117.89,4,23.57,Phyto A,4,81.45,60.7
285.84,3,24.5,Phyto C,4,71.84,98.55
172.08,4,25.23,Phyto A,6,80.86,59.34
159.52,3,31.94,Phyto B,4,88.34,88.27
170.61,4,26.88,Phyto A,2,80.36,90.69
138.14,6,25.53,Phyto D,2,62.29,77.91
148.32,3,26.47,Phyto A,4,88.99,65.54
242.4,3,19.51,Phyto C,2,76.6,64.99
342.35,5,15.0,Phyto E,1,91.53,121.29
232.31,5,25.51,Phyto B,4,91.66,104.73
175.1,1,25.47,Phyto A,4,87.59,67.11
191.26,3,20.71,Phyto A,3,80.41,91.45
259.07,5,16.74,Phyto C,5,72.61,69.31
323.58,4,15.11,Phyto E,2,91.6,95.01
254.48,2,10.22,Phyto E,1,94.15,121.57
194.84,5,32.01,Phyto B,1,93.8,91.86
322.18,2,12.08,Phyto E,2,90.41,99.37
131.18,4,25.61,Phyto A,6,85.15,90.58
173.76,3,32.97,Phyto B,6,89.8,82.33
136.9,5,26.68,Phyto A,3,83.1,80.59
134.22,3,23.57,Phyto D,3,66.83,69.68
241.94,1,25.15,Phyto B,1,94.22,96.18
159.74,4,25.76,Phyto B,1,86.65,94.29
242.35,2,32.25,Phyto B,6,88.53,94.34
232.81,3,18.76,Phyto C,4,78.58,87.79
330.26,3,12.3,Phyto E,5,94.41,96.28
108.32,4,27.73,Phyto D,5,61.13,65.2
108.44,5,20.9,Phyto D,5,62.92,76.81
193.18,4,21.95,Phyto A,5,83.43,56.52
123.51,2,24.95,Phyto D,5,63.81,52.28
278.72,4,12.65,Phyto E,3,92.44,95.5
193.81,1,23.43,Phyto A,1,86.07,93.33
141.96,1,29.85,Phyto D,1,63.68,63.56
263.9,2,17.8,Phyto E,6,93.03,116.76
205.48,2,19.1,Phyto C,5,78.19,97.32
165.73,4,29.32,Phyto A,5,80.98,89.89
173.04,3,31.94,Phyto B,5,90.64,115.53
197.48,3,29.04,Phyto A,5,86.57,54.9
164.37,3,20.87,Phyto A,1,87.39,79.13
160.0,3,32.51,Phyto B,3,89.84,101.73
279.66,5,12.33,Phyto E,6,91.63,104.51
177.86,3,20.99,Phyto A,5,85.65,51.58
265.03,6,10.56,Phyto E,6,91.66,94.85
112.35,4,26.94,Phyto D,2,63.34,74.14
139.4,4,28.5,Phyto D,3,60.11,43.36
286.6,2,19.54,Phyto E,1,93.49,109.09
102.35,2,20.06,Phyto D,6,60.42,62.97
331.52,1,12.42,Phyto E,4,91.4,95.13
177.99,2,26.84,Phyto B,6,87.44,110.18
120.38,1,28.69,Phyto A,1,86.59,62.75
290.51,2,18.21,Phyto C,2,77.51,67.29
132.74,1,23.97,Phyto D,2,60.68,53.5
310.69,1,15.69,Phyto E,4,91.23,116.35
240.7,3,31.08,Phyto B,2,89.56,94.61
255.67,4,13.84,Phyto E,4,91.95,102.59
268.13,4,16.61,Phyto E,1,90.91,124.07
295.07,3,12.73,Phyto E,1,92.15,99.93
234.04,1,17.64,Phyto C,1,79.84,98.14
265.68,4,20.86,Phyto C,3,73.59,64.9
237.81,5,21.93,Phyto C,4,73.48,81.36
140.55,1,23.2,Phyto D,3,64.29,46.55
133.45,6,20.81,Phyto D,6,69.54,76.78
175.1,3,22.2,Phyto A,4,86.66,69.93
177.64,2,22.29,Phyto A,1,84.1,85.04
264.67,5,24.32,Phyto C,5,79.75,72.09
194.66,4,27.81,Phyto A,1,81.42,67.63
113.63,6,25.75,Phyto D,5,68.84,79.46
261.72,6,17.73,Phyto C,2,75.87,73.75
177.37,6,30.25,Phyto B,5,90.76,98.99
235.94,2,29.35,Phyto B,6,88.62,108.58
305.4,4,15.97,Phyto E,6,94.31,125.61
298.34,3,17.97,Phyto C,5,73.33,70.59
105.78,2,29.05,Phyto D,6,60.83,63.36
189.25,1,29.57,Phyto A,4,84.94,72.92
227.27,6,25.77,Phyto B,4,93.87,114.53
192.64,1,30.43,Phyto B,1,86.5,109.73
139.36,4,22.59,Phyto A,2,85.23,88.69
150.38,2,31.88,Phyto B,5,85.88,115.89
220.4,4,28.34,Phyto B,1,91.06,90.45
128.53,6,25.46,Phyto D,4,65.47,54.58
342.34,3,19.54,Phyto E,4,94.3,102.45
264.17,6,10.5,Phyto E,3,91.93,99.05
250.39,4,24.52,Phyto C,6,79.37,89.41
332.72,4,16.41,Phyto E,5,90.4,94.93
160.99,1,25.77,Phyto A,2,82.15,67.31
214.38,3,23.65,Phyto C,6,73.21,78.23
142.02,3,29.81,Phyto A,1,80.03,52.29
179.9,3,24.37,Phyto A,5,80.55,77.86
225.14,6,20.47,Phyto C,4,72.25,94.74
280.78,2,14.26,Phyto E,3,90.93,120.46
260.15,1,16.06,Phyto E,3,91.01,128.05
246.59,3,21.92,Phyto C,5,71.68,80.13
141.77,2,28.19,Phyto D,6,66.52,56.34
282.17,6,10.66,Phyto E,5,90.86,97.02
187.97,3,25.25,Phyto A,2,81.4,97.16
103.57,3,20.66,Phyto A,6,86.11,73.43
205.46,4,15.75,Phyto C,3,74.63,87.21
297.94,5,19.64,Phyto C,5,70.57,73.39
299.03,5,14.93,Phyto E,2,90.6,110.45
147.75,4,24.22,Phyto D,2,64.97,61.97
279.25,4,16.39,Phyto C,2,73.28,78.79
134.57,4,23.91,Phyto D,3,67.47,78.45
111.75,5,29.51,Phyto D,6,68.38,75.23
101.25,5,22.48,Phyto D,2,61.24,55.69
188.23,3,28.21,Phyto A,1,88.0,89.94
263.72,6,12.79,Phyto E,3,92.14,102.79
269.16,5,20.21,Phyto C,5,76.69,80.56
273.77,1,20.87,Phyto C,4,70.58,99.49
186.89,1,28.27,Phyto B,2,87.64,93.05
227.53,6,19.88,Phyto C,2,71.84,90.66
244.27,2,15.03,Phyto C,2,70.24,82.08
110.91,1,27.35,Phyto A,3,88.27,95.48
131.03,5,27.49,Phyto A,6,83.08,62.46
263.38,5,11.87,Phyto E,4,92.13,102.03
309.2,1,19.41,Phyto E,3,92.54,108.47
264.71,5,12.65,Phyto E,4,90.38,126.19
196.15,4,29.91,Phyto A,3,87.86,78.49
299.2,2,23.25,Phyto C,1,75.54,66.72
277.75,5,18.05,Phyto E,4,94.04,117.73
188.08,2,23.95,Phyto A,2,83.01,59.5
227.18,5,32.13,Phyto B,3,88.79,91.18
243.5,5,26.87,Phyto B,1,86.72,112.82
148.37,2,26.76,Phyto D,5,62.85,69.59
116.92,4,26.21,Phyto D,4,67.03,63.86
308.86,6,17.13,Phyto E,6,93.91,124.22
206.5,3,23.68,Phyto C,6,79.58,61.58
162.41,4,24.01,Phyto A,1,89.53,89.27
231.91,4,29.28,Phyto B,6,90.87,105.2
235.13,4,31.77,Phyto B,2,94.4,106.05
100.21,6,26.69,Phyto D,1,62.24,62.18
277.96,6,21.31,Phyto C,4,77.12,68.39
338.81,4,18.46,Phyto E,6,91.7,123.12
